,Mother's Marital Status,Mother's Education Code,Deaths,Births,Death Rate
0,Married,1,1,138,7.25 (Unreliable)
1,Married,2,1,91,10.99 (Unreliable)
2,Married,Exc,1,88,11.36 (Unreliable)
3,Married,,3,344,8.72 (Unreliable)
4,Married,1,112,17473,6.41
5,Married,2,849,105459,8.05
6,Married,3,1010,138341,7.3
7,Married,4,285,44049,6.47
8,Married,5,19,2232,8.51 (Unreliable)
9,Married,Unk,80,4144,19.31
10,Married,Exc,853,105801,8.06
11,Married,,3208,417731,7.68
12,Married,1,701,121387,5.77
13,Married,2,2285,343768,6.65
14,Married,3,5826,998155,5.84
15,Married,4,4219,832204,5.07
16,Married,5,846,217185,3.9
17,Married,6,824,238591,3.45
18,Married,7,63,19029,3.31
19,Married,8,6,1966,3.05 (Unreliable)
20,Married,Unk,540,34907,15.47
21,Married,Exc,4974,842849,5.9
22,Married,,20283,3650041,5.56
23,Married,1,1053,199718,5.27
24,Married,2,2238,368286,6.08
25,Married,3,6336,1190719,5.32
26,Married,4,6165,1348770,4.57
27,Married,5,2774,691851,4.01
28,Married,6,5915,1765661,3.35
29,Married,7,1704,548457,3.11
30,Married,8,338,100461,3.36
31,Married,Unk,1186,81434,14.56
32,Married,Exc,8197,1791923,4.57
33,Married,,35905,8087280,4.44
34,Married,1,1093,207188,5.28
35,Married,2,1592,268781,5.92
36,Married,3,4568,827980,5.52
37,Married,4,4958,1001698,4.95
38,Married,5,2574,614118,4.19
39,Married,6,7239,2250252,3.22
40,Married,7,3516,1202051,2.93
41,Married,8,961,344482,2.79
42,Married,Unk,1329,105227,12.63
43,Married,Exc,8026,1863957,4.31
44,Married,,35856,8685734,4.13
45,Married,1,891,138035,6.45
46,Married,2,869,142488,6.1
47,Married,3,2529,392020,6.45
48,Married,4,2519,448086,5.62
49,Married,5,1353,274943,4.92
50,Married,6,3949,1044913,3.78
51,Married,7,2108,620761,3.4
52,Married,8,678,228693,2.96
53,Married,Unk,872,65396,13.33
54,Married,Exc,4751,940037,5.05
55,Married,,20521,4295372,4.78
56,Married,1,414,42048,9.85
57,Married,2,329,35186,9.35
58,Married,3,803,93323,8.6
59,Married,4,719,96946,7.42
60,Married,5,388,56884,6.82
61,Married,6,1111,203298,5.46
62,Married,7,536,115601,4.64
63,Married,8,215,47321,4.54
64,Married,Unk,289,18238,15.85
65,Married,Exc,1345,198771,6.77
66,Married,,6149,907616,6.77
67,Married,1,46,3064,15.01
68,Married,2,21,2079,10.1
69,Married,3,69,5930,11.64
